Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
190,0200,190,0000,000,0000,000,0000,0000,004,0100
190,0200,191,0200,190,0200,000,0190,0000,004,0100
191,0280,192,0280,191,0280,000,0191,FFFF,008,1000
192,219B,193,219B,19B,219A,000,0192,219A,000,0000
193,319D,194,319D,19D,E199,000,1E64,E19B,008,1000
194,E199,195,E199,199,E19B,000,0194,E19B,008,1000,199,E19B
195,A19C,196,A19C,19C,E19A,000,0195,E19A,008,1000
196,4199,197,4199,199,E19B,000,0196,C335,009,1001
197,E19A,198,E19A,19A,C335,000,0197,C335,009,1001,19A,C335
198,0100,199,0100,198,0100,000,0198,C335,009,1001
